,,,,"  Table 1. Revised Estimates of Florida Population by County, 2010–2020",  ,,,,,,,,,,,,,,
, Census                                                                                                                           Estimate                                                                                                                                       Census,,,,,,,,,,,,,,,,,,
,     2010                   2011                   2012                   2013                   2014                   2015                   2016                   2017                   2018                   2019                   2020,,,,,,,,,,,,,,,,,,
Lake,"297,047","   301,561","   301,561","  306,316","  306,316","  312,451","  312,451","  320,476","  320,476","  329,305","  329,305","   338,621","   338,621","   348,482","   348,482","   360,188","   360,188","   373,330","383,956"
Lee,"618,754","  627,509","  627,509","  639,653","  639,653","  648,719","  648,719","  660,699","  660,699","  674,981","  674,981","  691,400","  691,400","  708,797","  708,797","  724,796","  724,796","  743,871","760,822"
Leon,"275,487","  276,430","  276,430","  277,333","  277,333","  277,766","  277,766","  279,629","  279,629","  281,668","  281,668","  283,738","  283,738","  284,314","  284,314","  287,203","  287,203","  289,943","292,198"
Levy,"40,801","    40,860","    40,860","    40,658","    40,658","    40,729","    40,729","    40,939","    40,939","    41,071","    41,071","    41,328","    41,328","    41,791","    41,791","    42,042","    42,042","    42,452","42,915"
Liberty,"8,365","8,281","8,281","8,373","8,373","8,302","8,302","8,384","8,384","8,321","8,321","8,255","8,255","8,161","8,161","8,269","8,269","8,122","7,974"
Madison,"19,224","    19,177","    19,177","    19,006","    19,006","    18,966","    18,966","    18,797","    18,797","    18,609","    18,609","    18,503","    18,503","    18,553","    18,553","    18,518","    18,518","    18,459","17,968"
Manatee,"322,833","  326,995","  326,995","  332,146","  332,146","  337,111","  337,111","  343,523","  343,523","  352,731","  352,731","  361,470","  361,470","  371,562","  371,562","  380,375","  380,375","  389,617","399,710"
Marion,"331,303","  333,269","  333,269","  335,911","  335,911","  339,061","  339,061","  342,457","  342,457","  346,869","  346,869","  351,844","  351,844","  356,450","  356,450","  361,891","  361,891","  368,608","375,908"
Martin,"146,318","  146,733","  146,733","  147,254","  147,254","  148,204","  148,204","  148,984","  148,984","  150,240","  150,240","  151,340","  151,340","  152,895","  152,895","  154,643","  154,643","  156,565","158,431"
Miami-Dade,"2,496,457","2,508,561","2,508,561","2,528,081","2,528,081","2,546,519","2,546,519","2,565,380","2,565,380","2,589,725","2,589,725","2,619,712","2,619,712","2,647,013","2,647,013","2,668,572","2,668,572","2,688,393","2,701,767"
Monroe,"73,090","    73,626","    73,626","    74,465","    74,465","    75,621","    75,621","    76,563","    76,563","    77,409","    77,409","    79,131","    79,131","    80,278","    80,278","    79,301","    79,301","    81,155","82,874"
Nassau,"73,314","    74,093","    74,093","    74,689","    74,689","    75,786","    75,786","    76,815","    76,815","    78,263","    78,263","    79,894","    79,894","    82,345","    82,345","    84,646","    84,646","    86,989","90,352"
